"Blade|3",
"-w.|Oh dear... there go all my papers.",
"+w.|Let me get those for you.",
"-w.|Ah, Mr. Edgework, it's an honor to be in your presence.",
"+b.|(It's always a good thing to know that my reputation has got me far around these parts.)",
"+w.|Are these all paper manuals?",
"-w.|You bet! I've been using these since I've first gotten into the EFM game!",
"+b.|(Isn't it faster to use the repository?)",
"-w_08|Well, anyways that's beside the point. I'm still in my own confusion right now.|w|p|What seems to be the issue?",
"-w_1209|I was trying to learn new mods and got an Assorted Arrangement strike.|br|pb|Let's see if I could help.|Do you have a logfile?",
"-w.|What's a logfile?",
"+b.|(With the paper manuals and the lack of knowledge of a logfile. He appears to be a little too old school.)",
"+b.|(I think I don't have a choice but to manually help him.)",
"+w.|What were your four items?",
"-w.|Yes, here you go.",
"+b.|(He handed me a paper. It's filled with notes and scribbles.)",
"+b.|(Come on, where is this read? Oh, there it is.)",
"+w.|\"Cup, Trumpet, Banana... Sus?\"",
"-w.|lol",
"+w.|...",
"-w.|...",
"+w.|...",
"-w.|...",
"+b_23|(He's one of THOSE people... let's help him as quickly as possible to avoid more of these jokes.)|b|p|Do you remember what you pressed?",
"-w.|That I do remember. I pressed the Top left Button 12 times, and the Bottom Right button 7 times.",
"-w.|I then submitted the module, to which I was presented with a strike.",
"-w.|If you have any doubts, I wrote it down here.",
"+b.|(He handed me another paper.)",
"+b.|(Upon further inspection it was the Assorted Arrangement manual, with writing that does match his presses.)",
"+w.|I see, it's all coming together.",
"-w.|What do you mean?",
"+b.|(Looking at this manual there doesn't seem to be any inconsistencies from what I remember of the digital variant.)",
"+b.|(However, something doesn't sit right. Especially since this person is a paper manual user.)",
"+b_393336|(The issue is clearly because...)|bbb|pbn|You pressed the wrong amount of times.|You pressed the wrong buttons.|You noted the wrong symbol.",
"-w,|I don't think I did, Mr. Edgework.",
"-w,|It clearly says that Top Left cycles the letter, Bottom Right cycles the number, and Top Right submits.",
"+bX32|(Indeed it does...)",
"-w,|You think that I misread a symbol?",
"+w,|I mean... I'm not saying that you did mistake a symbol...",
"+bX32|(On second thought, I am saying that they mistook a symbol...)",
"-w.|Wrong amount of times? How come?",
"+w.|Although this manual does explain it too, the updated repository manual states a much more explicit A1.",
"+w.|Which is in between the first 2x2 of items, not the top left corner.",
"+w.|You needed to press each button one less than what you pressed.",
"-w!|It all makes sense now! I should probably update my manuals sometime today. Thanks for the help!"
